report_no,name,energy,protein,fat,carbohydrate,sugars,sodium,cholesterol,saturated_fat,trans_fat,dietary_fiber
20030445042549,5채5과 100% 유기농 과일야채,49.0,0.38,0.07,11.62,10.66,3.0,0.0,0.0,0.0,0.0
20030445042581,100 % 유기농 스퀴즈 오렌지,50.0,0.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0
20030445042590,100% 유기농 딸기그레이프,60.0,0.0,0.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0
20030445042605,100% 국산 배도라지즙,50.0,0.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0
20030445042671,5無(무)주스키즈100%유기농망고오렌지,60.0,0.0,0.0,14.0,11.0,5.0,0.0,0.0,0.0,0.0
20030445042786,A+B+C주스,45.0,0.7,0.0,10.0,10.0,25.0,0.0,0.0,0.0,0.0
20030445042848,ABC주스,45.0,0.0,0.0,10.0,8.0,35.0,0.0,0.0,0.0,0.0
20030445042850,100%타트체리착즙주스,55.0,0.7,0.0,13.0,11.0,5.0,0.0,0.0,0.0,0.0
20030445042862,100% 유기농타트체리착즙주스,55.0,0.7,0.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0
200304451282572,518빛고을한우 사골곰탕,17.0,2.59,0.75,0.08,0.0,21.0,1.69,0.39,0.0,0.0
200304451282573,518빛고을한우 사골고기곰탕,25.0,3.44,0.87,0.82,0.0,23.0,7.7,0.39,0.0,0.0
200304451282621,BBQ맛 그릴함박스테이크,206.0,6.88,11.25,19.38,17.5,663.0,56.25,3.13,0.31,0.0
200304451282677,LA돈갈비,217.0,13.58,11.48,14.87,6.29,700.0,57.16,4.89,0.02,0.0
200304671081021,6년근 홍삼本,42.0,0.18,0.02,10.3,7.43,6.0,0.0,0.0,0.0,0.0
200304671081052,DKG 멀티비타민 정제,393.0,10.31,3.92,79.03,6.16,90.0,0.0,3.22,0.0,0.0
20030467108708,6년근 홍삼정과골드,330.0,3.33,1.67,76.67,20.0,17.0,0.0,0.0,0.0,0.0
20030467230334,3&삼진액골드,35.0,0.2,0.4,7.6,6.4,4.0,0.0,0.0,0.0,0.0
20030473071214,ALL LIVE YOUNG WATER SPARKLING GRAFEFRUIT (올리브영워터 스파클링 자몽),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20030493186135,3분이면OK 전자레인지 찐만두(매운맛),194.0,8.33,9.23,19.48,0.57,264.0,0.51,3.25,0.08,0.0
20030493186136,3분이면OK 전자레인지 찐만두(순한맛),214.0,11.11,11.67,16.67,0.56,217.0,0.0,4.44,0.11,0.0
20030493186434,CJ흑당씨앗만두,340.0,4.0,14.0,50.0,20.0,290.0,30.0,4.3,0.0,0.0
20030493186544,HK당면만두,191.0,0.84,3.59,38.85,1.95,267.0,0.0,2.24,0.0,0.0
20030493186546,CHAI797 샤오롱바오,246.0,9.34,7.97,33.79,0.55,404.0,23.35,3.85,0.0,0.0
20030493186547,CHAI797 부추하가우,225.0,5.83,9.17,29.72,0.83,481.0,62.5,5.0,0.0,0.0
20030493186548,CHAI797 블랙하가우,167.0,7.71,3.14,27.14,0.86,560.0,41.43,1.43,0.0,0.0
20030554150312,6년근 고려홍삼정 투데이 녹용홍삼 농축액,386.0,1.4,0.7,93.6,19.0,45.0,0.0,0.0,0.0,0.0
20030554150318,6년근 고려홍삼정 홍삼을 통채로 스틱,104.0,0.5,0.1,25.2,9.3,9.0,0.0,0.1,0.0,0.0
20030554150363,365올데이홍삼스틱,118.0,0.5,0.0,28.9,8.3,12.0,0.0,0.0,0.0,0.0
20030554188212,HAJOles 알부민 플러스,48.0,5.67,0.0,6.33,3.5,53.0,0.0,0.0,0.0,0.0
20030554188240,6년근 홍삼 산삼배양근액골드,3.0,0.33,0.01,0.44,0.0,1.0,0.0,0.0,0.0,0.0
20030570083273,BCS웰하임 서울떡볶이 매콤까르보나라맛,250.0,4.29,2.86,52.14,7.14,579.0,7.14,1.43,0.0,0.0
20030570083285,K-GO 매콤달콤 떡볶이,232.0,4.47,1.34,51.79,5.36,679.0,0.0,0.27,0.0,0.0
20030607112417,HK경양식소스,141.0,4.0,1.0,31.0,25.0,1250.0,0.0,0.0,0.0,0.0
200306073752603,3XL뉴매콤돈까스,176.0,4.15,3.41,32.14,0.7,388.0,4.93,0.77,0.07,0.0
200306073752699,3XL떡갈비전주비빔,175.0,4.88,3.2,31.64,3.16,501.0,3.01,1.66,0.02,0.0
20030611220171,4씨앗믹스,385.0,20.0,11.0,68.0,4.0,994.0,0.0,2.0,0.0,0.0
200306143071292,HY 오롯 석류,94.0,0.0,0.0,22.5,20.0,0.0,0.0,0.0,0.0,0.0
200306143071377,HY오롯 흑마늘,50.0,1.25,0.0,11.25,7.5,13.0,0.0,0.0,0.0,0.0
200306143071524,247아워핏 팥양갱,166.0,3.26,0.25,61.89,1.04,107.0,0.0,0.04,0.0,15.6
200306143071525,247아워핏 검은깨양갱,171.0,4.25,1.36,59.61,0.84,96.0,1.19,0.22,0.0,16.5
2003062817829,100년보다 깊은 제주콩 청국장찌개,64.0,7.5,0.3,8.0,0.8,108.0,0.0,0.2,0.0,0.0
20040036115999,BK)파네토네,396.0,9.1,13.2,59.9,26.3,335.0,76.0,0.8,0.0,0.0
20040149167422,135사각꼬치어묵,133.0,13.2,1.4,16.9,10.7,814.0,23.5,0.4,0.0,0.0
20040149167423,135봉꼬치어묵,147.0,13.2,1.3,20.5,4.1,395.0,15.5,0.3,0.0,0.0
200401824861005,2색 송편,354.0,5.88,2.06,79.41,26.47,309.0,0.0,0.0,0.0,0.0
20040182486990,2색 송편(냉동),354.0,5.56,2.08,79.17,26.39,308.0,0.0,0.0,0.0,0.0
